week,rank,skill,owner_repo,installs,captured_at
2026-W27,130,azure-enterprise-infra-planner,microsoft/azure-skills,263900,2026-07-05T09:14:36.826932+00:00
2026-W27,131,xget,xixu-me/skills,263100,2026-07-05T09:14:36.826932+00:00
2026-W27,132,tzst,xixu-me/skills,263000,2026-07-05T09:14:36.826932+00:00
2026-W27,133,xdrop,xixu-me/skills,262700,2026-07-05T09:14:36.826932+00:00
2026-W27,134,lark-slides,larksuite/cli,261700,2026-07-05T09:14:36.826932+00:00
2026-W27,135,lark-attendance,larksuite/cli,260399,2026-07-05T09:14:36.826932+00:00
2026-W27,136,brainstorming,obra/superpowers,259500,2026-07-05T09:14:36.826932+00:00
2026-W27,138,azure-kubernetes,microsoft/azure-skills,256800,2026-07-05T09:14:36.826932+00:00
2026-W27,139,ui-ux-pro-max,nextlevelbuilder/ui-ux-pro-max-skill,249900,2026-07-05T09:14:36.826932+00:00
2026-W27,140,lark-okr,larksuite/cli,245900,2026-07-05T09:14:36.826932+00:00
2026-W27,141,gpt-image-2,runcomfy-com/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,142,image-outpainting,doany-ai/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,143,ai-image-generation,runcomfy-com/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,144,ai-avatar-video,runcomfy-com/skills,240800,2026-07-05T09:14:36.826932+00:00
2026-W27,145,seedance-v2,doany-ai/skills,240800,2026-07-05T09:14:36.826932+00:00
2026-W27,146,flux-2-klein,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,147,face-swap,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,148,face-swap,doany-ai/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,153,elevenlabs-music-generation,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,154,relight,doany-ai/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,155,video-extend,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,156,image-to-video,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,157,codex-pet,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,158,image-inpainting,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,159,happyhorse-1-0,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,160,video-edit,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,161,flux-2-klein,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,162,video-outpainting,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,163,ai-video-generation,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,164,seedance-v2,runcomfy-com/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,165,gpt-image-edit,doany-ai/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,166,runcomfy-cli,doany-ai/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,167,video-inpainting,runcomfy-com/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,168,nano-banana-2,doany-ai/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,169,controlnet-pose,runcomfy-com/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,170,lipsync,runcomfy-com/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,171,ai-image-generation,doany-ai/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,172,flux-kontext,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,173,image-inpainting,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,174,image-edit,runcomfy-com/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,179,image-to-video,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,180,ai-avatar-video,doany-ai/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,181,ace-step,doany-ai/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,182,video-outpainting,runcomfy-com/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,183,lipsync,doany-ai/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,184,kling-3-0,runcomfy-com/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,185,gpt-image-edit,runcomfy-com/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,186,nano-banana-edit,runcomfy-com/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,187,elevenlabs-music-generation,doany-ai/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,188,image-outpainting,runcomfy-com/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,194,kling-3-0,doany-ai/skills,239900,2026-07-05T09:14:36.826932+00:00
2026-W27,200,vercel-composition-patterns,vercel-labs/agent-skills,236700,2026-07-05T09:14:36.826932+00:00
2026-W27,201,azure-cost,microsoft/azure-skills,232300,2026-07-05T09:14:36.826932+00:00
2026-W27,202,diagnose,mattpocock/skills,231400,2026-07-05T09:14:36.826932+00:00
2026-W27,203,simple,roin-orca/skills,225400,2026-07-05T09:14:36.826932+00:00
2026-W27,204,lark-markdown,larksuite/cli,224800,2026-07-05T09:14:36.826932+00:00
2026-W27,205,just-scrape,scrapegraphai/just-scrape,224600,2026-07-05T09:14:36.826932+00:00
2026-W27,206,write-a-skill,mattpocock/skills,223300,2026-07-05T09:14:36.826932+00:00
2026-W27,207,zoom-out,mattpocock/skills,222700,2026-07-05T09:14:36.826932+00:00
2026-W27,208,find-skills,agentspace-so/skills,220600,2026-07-05T09:14:36.826932+00:00
2026-W27,209,develop-userscripts,xixu-me/skills,220400,2026-07-05T09:14:36.826932+00:00
2026-W27,210,shadcn,shadcn/ui,220200,2026-07-05T09:14:36.826932+00:00
2026-W27,211,caveman,mattpocock/skills,217800,2026-07-05T09:14:36.826932+00:00
2026-W27,212,design-taste-frontend,leonxlnx/taste-skill,217600,2026-07-05T09:14:36.826932+00:00
2026-W27,213,caveman-commit,juliusbrussee/caveman,211900,2026-07-05T09:14:36.826932+00:00
2026-W27,214,caveman-review,juliusbrussee/caveman,210300,2026-07-05T09:14:36.826932+00:00
2026-W27,215,caveman-compress,juliusbrussee/caveman,208300,2026-07-05T09:14:36.826932+00:00
2026-W27,216,azure-cost-optimization,microsoft/azure-skills,208200,2026-07-05T09:14:36.826932+00:00
2026-W27,217,caveman-help,juliusbrussee/caveman,203300,2026-07-05T09:14:36.826932+00:00
2026-W27,218,lark-vc-agent,larksuite/cli,197000,2026-07-05T09:14:36.826932+00:00
2026-W27,219,impeccable,pbakaus/impeccable,182200,2026-07-05T09:14:36.826932+00:00
2026-W27,220,airunway-aks-setup,microsoft/azure-skills,177000,2026-07-05T09:14:36.826932+00:00
2026-W27,221,high-end-visual-design,leonxlnx/taste-skill,172900,2026-07-05T09:14:36.826932+00:00
2026-W27,222,systematic-debugging,obra/superpowers,172100,2026-07-05T09:14:36.826932+00:00
2026-W27,223,writing-plans,obra/superpowers,170500,2026-07-05T09:14:36.826932+00:00
2026-W27,224,redesign-existing-projects,leonxlnx/taste-skill,169900,2026-07-05T09:14:36.826932+00:00
2026-W27,225,using-superpowers,obra/superpowers,169800,2026-07-05T09:14:36.826932+00:00
2026-W27,226,pptx,anthropics/skills,167100,2026-07-05T09:14:36.826932+00:00
2026-W27,227,hyperframes,heygen-com/hyperframes,164500,2026-07-05T09:14:36.826932+00:00
2026-W27,228,teach,mattpocock/skills,164500,2026-07-05T09:14:36.826932+00:00
2026-W27,229,cavecrew,juliusbrussee/caveman,161200,2026-07-05T09:14:36.826932+00:00
2026-W27,230,caveman-stats,juliusbrussee/caveman,161000,2026-07-05T09:14:36.826932+00:00
2026-W27,231,hyperframes-cli,heygen-com/hyperframes,160300,2026-07-05T09:14:36.826932+00:00
2026-W27,232,minimalist-ui,leonxlnx/taste-skill,158400,2026-07-05T09:14:36.826932+00:00
2026-W27,233,vercel-react-native-skills,vercel-labs/agent-skills,158000,2026-07-05T09:14:36.826932+00:00
2026-W27,234,lark-apps,larksuite/cli,156900,2026-07-05T09:14:36.826932+00:00
2026-W27,235,hyperframes-registry,heygen-com/hyperframes,156200,2026-07-05T09:14:36.826932+00:00
2026-W27,236,requesting-code-review,obra/superpowers,153900,2026-07-05T09:14:36.826932+00:00
2026-W27,237,seo-audit,coreyhaines31/marketingskills,153000,2026-07-05T09:14:36.826932+00:00
2026-W27,238,supabase,supabase/agent-skills,152500,2026-07-05T09:14:36.826932+00:00
2026-W27,239,test-driven-development,obra/superpowers,152400,2026-07-05T09:14:36.826932+00:00
2026-W27,240,full-output-enforcement,leonxlnx/taste-skill,151600,2026-07-05T09:14:36.826932+00:00
2026-W27,241,entra-agent-id,microsoft/azure-skills,151200,2026-07-05T09:14:36.826932+00:00
2026-W27,242,pdf,anthropics/skills,149300,2026-07-05T09:14:36.826932+00:00
2026-W27,243,industrial-brutalist-ui,leonxlnx/taste-skill,147400,2026-07-05T09:14:36.826932+00:00
2026-W27,244,stitch-design-taste,leonxlnx/taste-skill,146600,2026-07-05T09:14:36.826932+00:00
2026-W27,245,docx,anthropics/skills,143400,2026-07-05T09:14:36.826932+00:00
2026-W27,246,copywriting,coreyhaines31/marketingskills,143000,2026-07-05T09:14:36.826932+00:00
2026-W27,247,executing-plans,obra/superpowers,141300,2026-07-05T09:14:36.826932+00:00
2026-W27,248,gpt-taste,leonxlnx/taste-skill,140900,2026-07-05T09:14:36.826932+00:00
2026-W27,249,paper-context-resolver,lllllllama/ai-paper-reproduction-skill,140400,2026-07-05T09:14:36.826932+00:00
2026-W27,253,remotion-to-hyperframes,heygen-com/hyperframes,138500,2026-07-05T09:14:36.826932+00:00
2026-W27,254,hyperframes-media,heygen-com/hyperframes,134100,2026-07-05T09:14:36.826932+00:00
2026-W27,255,subagent-driven-development,obra/superpowers,134000,2026-07-05T09:14:36.826932+00:00
2026-W27,257,viral-short-form,vyralcontent/content-skills,132200,2026-07-05T09:14:36.826932+00:00
2026-W27,258,verification-before-completion,obra/superpowers,131800,2026-07-05T09:14:36.826932+00:00
2026-W27,259,brandkit,leonxlnx/taste-skill,128400,2026-07-05T09:14:36.826932+00:00
2026-W27,260,image-to-code,leonxlnx/taste-skill,127200,2026-07-05T09:14:36.826932+00:00
2026-W27,261,xlsx,anthropics/skills,126700,2026-07-05T09:14:36.826932+00:00
2026-W27,262,receiving-code-review,obra/superpowers,126500,2026-07-05T09:14:36.826932+00:00
2026-W27,263,imagegen-frontend-web,leonxlnx/taste-skill,126000,2026-07-05T09:14:36.826932+00:00
2026-W27,264,writing-skills,obra/superpowers,125500,2026-07-05T09:14:36.826932+00:00
2026-W27,265,extract-design-system,arvindrk/extract-design-system,124700,2026-07-05T09:14:36.826932+00:00
2026-W27,266,dispatching-parallel-agents,obra/superpowers,123700,2026-07-05T09:14:36.826932+00:00
2026-W27,267,using-git-worktrees,obra/superpowers,123200,2026-07-05T09:14:36.826932+00:00
2026-W27,268,imagegen-frontend-mobile,leonxlnx/taste-skill,123100,2026-07-05T09:14:36.826932+00:00
2026-W27,269,viral-hooks,vyralcontent/content-skills,123000,2026-07-05T09:14:36.826932+00:00
2026-W27,275,finishing-a-development-branch,obra/superpowers,121000,2026-07-05T09:14:36.826932+00:00
2026-W27,276,emil-design-eng,emilkowalski/skills,116800,2026-07-05T09:14:36.826932+00:00
2026-W27,277,azure-reliability,microsoft/azure-skills,110800,2026-07-05T09:14:36.826932+00:00
